"date","open","high","low","close","volume","oi"
2012-06-21,1,1,-278800,-278800,14962000,4
2012-06-21,1,1,27500,27500,1366500,6
2012-06-21,2,2,-10100,-19678,173094,1
2012-06-21,1,3,0,89467,1065900,5
2012-06-21,1,2,15870,15869,1438900,6
2012-06-21,1,4,7769,13492,253428,2
2012-06-21,2,3,23369,30433,541788,2
2012-06-21,2,4,17799,16910,167490,1
2012-06-21,2,3,0,169222,1952100,5
2012-06-21,2,4,50469,43847,273454,1
2012-06-21,1,2,4900,-284,204548,2
2012-06-21,1,2,7769,7769,143800,1
2012-06-21,1,2,12669,6083,274154,1
2012-06-21,1,4,4900,16865,28900,2
2012-06-21,2,3,24400,13400,28400,2
2012-06-21,1,1,-2769,-111,499188,2
2012-06-21,1,2,30800,33169,95854,1
2012-06-21,2,4,4900,27298,217338,1
2012-06-21,1,5,660657,660656,3923656,2
2012-06-21,1,2,12700,9067,158768,2
2012-06-21,1,3,218000,226862,2150262,3
2012-06-21,1,4,1459400,1459400,7764100,1
2012-06-21,1,2,8800,8800,264239,1
2012-06-21,1,4,23870,17051,127254,1
2012-06-21,1,2,7800,7800,232659,1
2012-06-21,1,4,17569,15006,298708,2
2012-06-21,1,2,-15100,-13753,87574,1
2012-06-21,1,2,12669,4983,152254,1
2012-06-21,1,1,4900,-6395,4900,1
2012-06-21,1,4,167000,163774,990200,4
2012-06-21,2,3,7769,-3678,9800,1
2012-06-21,1,1,0,-8045,83954,1
2012-06-21,1,3,15569,10782,319748,2
2012-06-21,1,4,1069712,501722,22673312,4
2012-06-21,1,3,16700,24273,392308,2
2012-06-21,1,5,22970,22969,86100,1
2012-06-21,1,1,4900,4621,4900,2
2012-06-21,1,2,34900,34149,472712,3
2012-06-21,5,4,96270,97299,844054,1
2012-06-21,1,1,-542918,-742920,29943379,4
2012-06-21,1,2,15870,15869,433900,2
2012-06-21,1,2,9800,1475,112154,2
2012-06-21,1,6,31669,24591,136374,2
2012-06-21,1,3,15569,13762,372108,2
2012-06-21,1,2,5900,-2276,90854,1
2012-06-21,2,1,26897,-538,2856169,6
2012-06-21,1,3,67170,65154,1149700,4
2012-06-21,3,2,12707,61323,2742278,4
2012-06-21,1,2,10770,31350,1348885,4
2012-06-21,1,4,391984,391985,2936385,1
2012-06-21,1,5,21869,13389,132414,1
2012-06-21,5,3,174369,323382,4510612,4
2012-06-21,1,2,7800,4408,186448,2
2012-06-21,4,1,4900,-5128,4900,2
2012-06-21,1,3,126970,113980,1580310,6
2012-06-21,1,1,6000,-345,93854,1
2012-06-21,1,2,4900,1415,217088,2
2012-06-21,3,3,30270,36034,985804,2
2012-06-21,1,3,13569,13312,236180,1
2012-06-21,1,2,8799,2194,111474,2
2012-06-21,1,1,4900,-3292,117354,1
2012-06-21,1,1,-250920,-250919,14679080,4
2012-06-21,1,3,28900,34259,237188,2
2012-06-21,4,1,1925,1829,139425,2
2012-06-21,1,1,27500,27500,439600,4
2012-06-21,1,3,39069,38273,1843100,2
2012-06-21,1,2,47400,47400,1288400,4
2012-06-21,2,1,39900,52280,1857438,4
2012-06-21,2,3,123569,213499,2026277,4
2012-06-21,2,2,6900,9685,236374,1
2012-06-21,1,5,173637,173701,878984,4
2012-06-21,1,4,47688,44138,403297,2
2012-06-21,1,1,24900,50837,1474310,6
2012-06-21,1,3,39070,37813,1674900,2
2012-06-21,1,1,11800,6450,222654,1
2012-06-21,1,1,27500,36190,459290,4
2012-06-21,1,2,44800,51342,437293,2
2012-06-21,1,2,1000,-10000,2000,1
2012-06-21,1,2,38270,62657,488215,2
2012-06-21,1,3,10670,4028,113054,2
2012-06-21,1,2,28370,28369,526000,2
2012-06-21,1,2,5900,8723,100454,1
2012-06-21,3,3,31299,30705,578320,2
2012-06-21,1,1,37400,45113,1320124,6
2012-06-21,1,4,80600,79014,1311500,3
2012-06-21,2,2,70525,169669,2686885,5
2012-06-21,3,2,5770,5266,5800,1
2012-06-21,1,2,12669,6573,139604,1
2012-06-21,1,5,77869,76337,1941800,2
2012-06-21,1,1,959400,959400,13817900,4
2012-06-21,1,5,77869,75449,1941800,2
2012-06-21,1,5,77869,75449,1941800,2
2012-06-21,1,1,37400,50980,789291,4
2012-06-21,1,2,14700,17375,189874,2
2012-06-21,1,4,72470,72469,722800,2
2012-06-21,1,6,27769,27769,224720,1
2012-06-21,1,1,14500,26015,1541391,4
2012-06-21,1,1,24900,31349,671422,4
2012-06-21,1,1,37400,39717,1003128,4
2012-06-21,1,3,14569,11521,254908,2
2012-06-22,2,2,4900,7575,204054,2
2012-06-21,1,3,39070,39590,465368,2
2012-06-21,1,1,4900,-6324,4900,1
2012-06-21,1,1,37400,36688,1125200,0
2012-06-21,1,3,28270,27731,492900,2
2012-06-21,1,2,25769,52196,2123716,4
2012-06-21,3,4,42370,40892,48400,2
2012-06-21,1,1,-356207,-356208,17609691,3
2012-06-21,1,1,6900,-405,162554,1
2012-06-21,4,2,21560,21560,505208,4
2012-06-21,1,2,5769,8614,150654,1
2012-06-21,1,2,15870,15869,1595800,4
2012-06-21,5,1,3012000,3012000,74278800,4
2012-06-21,2,1,39900,34355,1535228,2
2012-06-21,2,4,24469,24469,667099,1
2012-06-21,3,3,24369,20514,361708,2
2012-06-21,1,1,6900,9854,146414,1
2012-06-21,1,5,21869,10304,22900,1
2012-06-21,1,1,11800,6120,184704,1
2012-06-21,2,4,24469,24469,704739,1
2012-06-21,1,1,4900,-4624,4900,1
2012-06-21,2,2,9800,9800,371240,2
2012-06-21,2,2,4900,10715,386888,2
2012-06-21,1,2,38269,37541,249300,2
2012-06-21,1,1,24900,39738,757111,4
2012-06-21,2,2,25300,15147,25300,2
2012-06-21,2,2,9769,9583,215400,2
2012-06-21,2,2,14700,14234,213500,1
2012-06-21,4,2,31299,25613,554368,2
2012-06-21,2,5,39968,39132,511838,2
2012-06-21,2,5,30167,26126,401546,2
2012-06-21,1,3,20000,22481,184594,2
2012-06-21,1,1,-10137,-10137,496762,2
2012-06-21,1,2,528881,543377,4851577,2
2012-06-21,1,1,-873300,-873300,28772200,4
2012-06-21,1,1,68800,-113431,12148800,2
2012-06-21,1,1,37400,42559,860170,2
2012-06-21,1,4,146670,164762,839179,4
2012-06-21,1,1,2780,2726,113979,1
2012-06-21,9,5,848670,848669,8441100,2
2012-06-21,1,4,97670,97669,598100,2
2012-06-21,2,3,21370,26871,695908,2
2012-06-21,1,4,97670,97669,598100,2
2012-06-21,4,4,373669,373669,3148900,4
2012-06-21,1,2,7769,7769,144360,1
2012-06-21,1,1,4900,4675,4900,1
2012-06-21,1,1,1503800,1388473,7688400,2
2012-06-21,1,4,23769,18226,252288,2
2012-06-21,3,4,1163676,1163677,10154377,2
2012-06-21,1,1,37400,42597,860208,2
2012-06-21,2,3,0,38279,979658,2
2012-06-21,3,2,-630,-630,4403500,2
2012-06-21,1,1,37400,36688,1104500,4
2012-06-21,3,1,-1500,-7845,378054,1
2012-06-21,1,1,37400,36688,1104500,4
2012-06-21,2,3,23370,28833,452908,2
2012-06-21,2,5,51800,51800,519680,1
2012-06-21,1,4,23869,17651,164454,1
2012-06-21,5,3,54770,50337,1054708,2
2012-06-21,3,2,21569,21160,267539,1
2012-06-21,1,7,240270,236467,888116,4
2012-06-21,1,2,38200,31075,256254,1
2012-06-21,3,2,10669,-4812,10700,1
2012-06-21,1,2,3596,3595,23937,2
2012-06-21,5,1,4900,3718,4900,1
2012-06-21,2,3,4970500,4970500,57663300,4
2012-06-21,4,1,4218700,11985161,137701607,6
2012-06-21,3,1,-1631800,-1631800,66554600,4
2012-06-21,4,2,19600,19600,1034400,2
2012-06-21,4,1,39200,39200,1054000,2
2012-06-21,2,2,40770,48568,1603373,4
2012-06-21,2,2,3162000,3162000,46987800,7
2012-06-21,2,1,-11191,-44715,1946749,4
2012-06-21,2,3,114869,128421,2980234,4
2012-06-21,1,1,82819,82819,5159519,2
2012-06-21,4,2,19600,19600,1034400,2
2012-06-21,2,3,30575,-29843,2133746,4
2012-06-21,4,1,0,-9300,0,2
2012-06-21,1,4,47000,41545,350108,2
2012-06-21,1,2,5770,-3826,5800,2
2012-06-21,2,1,16900,16578,207900,1
2012-06-21,1,2,10900,4294,118134,2
2012-06-21,1,2,-1401680,-1349903,3781355,2
2012-06-21,1,4,126470,126469,626900,2
2012-06-21,1,1,37400,39646,754457,4
2012-06-21,2,3,42898,42083,642698,1
2012-06-22,1,4,2800790,2600790,13269890,2
2012-06-22,1,1,37400,36688,1104500,4
2012-06-22,2,4,43770,40146,651808,2
2012-06-22,1,2,38270,37541,1355600,6
2012-06-22,1,2,53800,46695,1523449,4
2012-06-22,1,3,10200,5200,161759,1
2012-06-22,2,1,55000,70412,1000012,4
2012-06-22,1,2,1812228,1431894,15213328,4
2012-06-22,1,1,4900,-4624,4900,1
2012-06-22,1,3,10669,4003,203974,2
2012-06-22,1,2,24900,24426,187100,2
2012-06-22,1,2,22000,21581,103100,1
2012-06-22,2,1,30000,72682,4217882,4
2012-06-22,1,3,5259,4822,28601,2
2012-06-22,1,4,87000,87000,1686800,4
2012-06-22,1,4,1459400,1459400,22452900,2
2012-06-22,1,4,1459400,1459400,24467700,2
2012-06-22,1,4,400950,400950,1907150,1
2012-06-22,1,2,57300,71653,1207342,2
2012-06-22,2,1,-1564562,-1564559,65564240,5
2012-06-22,1,3,9670,3028,109275,2
2012-06-22,1,4,15569,11612,226670,2
2012-06-22,2,3,31100,31100,203619,1
2012-06-22,2,2,5769,8614,233274,1
2012-06-22,1,5,26900,32259,235388,2
2012-06-22,1,3,15100,20721,196028,2
